127.0.0.1 - - [06/Dec/2018:11:12:49 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/ HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/ HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/common/third-i-logo-color.png HTTP/1.1" 200 14889
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/lib/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/lib/jquery/jquery-3.1.1.js HTTP/1.1" 200 267194
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:39 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:55 +0530] "POST /pms-web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:56 +0530] "GET /pms-web/login/index HTTP/1.1" 200 65961
0:0:0:0:0:0:0:1 - - [06/Dec/2018:11:14:56 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.css HTTP/1.1" 200 146110
