127.0.0.1 - - [16/Feb/2019:21:42:20 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:30 +0530] "GET /pms-web/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:31 +0530] "GET /pms-web/login/logout HTTP/1.1" 200 5789
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:31 +0530] "GET /pms-web/lib/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:31 +0530] "GET /pms-web/lib/bootstrap-3.3.7/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:31 +0530] "GET /pms-web/lib/bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:31 +0530] "GET /pms-web/lib/jquery/jquery-3.1.1.js HTTP/1.1" 200 267194
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:31 +0530] "GET /pms-web/login/images/logoi-white.png HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:31 +0530] "GET /pms-web/login/images/user_profile.png HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:32 +0530] "GET /pms-web/login/images/BG.png HTTP/1.1" 200 709785
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:42 +0530] "POST /pms-web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:46 +0530] "POST /pms-web/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:53 +0530] "GET /pms-web/login/index HTTP/1.1" 500 16406
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:57 +0530] "GET /pms-web/login/index HTTP/1.1" 200 71463
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:57 +0530] "GET /pms-web/lib/jquery/loading/showLoading.css HTTP/1.1" 200 267
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:57 +0530] "GET /pms-web/lib/toaster/toastr.min.css HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [16/Feb/2019:21:42:57 +0530] "GET /pms-web/lib/jquery/jqueryUI/jquery-ui.min.css HTTP/1.1" 200 32076
